Tunnus;Nimi;Tietoa;Suure;Päävesistöalue nro;Kunta;Maakunta;Omistaja;Ylläpitoluokka;Havaintoverkko;Tarkistus;EnsimmainenHavainto;ViimeisinHavainto
01802;Jänisjoki,Ruskeakoski;Havaintopaikan tiedot ;SA;Jänisjoki, 01.021;Joensuu;Pohjois-Karjala;Ympäristöhallinto;;Valtakunnallinen;16.6.2013;1.3.1967;1.2.2026
03701;Hiitolanjoki,Juankoski;Havaintopaikan tiedot ;SA;Hiitolanjoki, 03.011;Rautjärvi;Etelä-Karjala;Ympäristöhallinto;;Valtakunnallinen;1.3.1991;1.3.1978;1.3.1991
04026;Sorsavesi-Sorsakoski;Havaintopaikan tiedot ;SA;Vuoksi, 04.261;Joroinen;Pohjois-Savo;Ympäristöhallinto;;Valtakunnallinen;16.6.2013;1.3.1946;1.2.2026
04114;Kuolimojär.Partakos+Kärnänko.;Havaintopaikan tiedot ;SA;Vuoksi, 04.141;Savitaipale;Etelä-Karjala;Ympäristöhallinto;;Valtakunnallinen;1.4.1980;1.3.1967;1.4.1980
04126;Kuvansinjoki,Osmanjärvi-L;Havaintopaikan tiedot ;SA;Vuoksi, 04.261;Joroinen;Pohjois-Savo;Ympäristöhallinto;;Valtakunnallinen;1.4.1980;1.3.1967;1.4.1980
04146;Valtimonjoki,Kuokkastenkoski;Havaintopaikan tiedot ;SA;Vuoksi, 04.461;Nurmes;Pohjois-Karjala;Ympäristöhallinto;;Valtakunnallinen;1.4.1980;1.3.1946;1.4.1980
04147;Saramonjoki,Roukkajankoski;Havaintopaikan tiedot ;SA;Vuoksi, 04.471;Nurmes;Pohjois-Karjala;Ympäristöhallinto;;Valtakunnallinen;1.4.1980;1.3.1963;1.4.1980
04154;Salahminjoki;Havaintopaikan tiedot ;SA;Vuoksi, 04.541;Vieremä;Pohjois-Savo;Ympäristöhallinto;;Valtakunnallinen;1.4.1980;1.3.1967;1.4.1980
04158;Sonkajärvi,Aittokoski;Havaintopaikan tiedot ;SA;Vuoksi, 04.583;Sonkajärvi;Pohjois-Savo;Ympäristöhallinto;;Valtakunnallinen;1.4.1980;1.3.1967;1.4.1980
04164;Korpijärvi-Luusua;Havaintopaikan tiedot ;SA;Vuoksi, 04.641;Lapinlahti;Pohjois-Savo;Ympäristöhallinto;;Valtakunnallinen;16.6.2013;1.3.1946;1.2.2026
04166;Tiilikanjoki;Havaintopaikan tiedot ;SA;Vuoksi, 04.661;Lapinlahti;Pohjois-Savo;Ympäristöhallinto;;Valtakunnallinen;16.6.2013;16.12.1957;1.2.2026
04167;Keyritynjoki;Havaintopaikan tiedot ;SA;Vuoksi, 04.671;Kuopio;Pohjois-Savo;Ympäristöhallinto;;Valtakunnallinen;1.4.1980;1.3.1965;1.4.1980
04168;Alaluostanjärvi-Luusua;Havaintopaikan tiedot ;SA;Vuoksi, 04.681;Rautavaara;Pohjois-Savo;Ympäristöhallinto;;Valtakunnallinen;1.4.1980;1.3.1946;1.4.1980
04183;Höytiäinen,Rauanjoki;Havaintopaikan tiedot ;SA;Vuoksi, 04.831;Polvijärvi;Pohjois-Karjala;Ympäristöhallinto;;Valtakunnallinen;1.4.1980;1.3.1978;1.4.1980
