paikka_id;Tunnus;Nimi;Suurekoodi;Suure;Vesistonumero;Tila;EnsimmainenHavainto;ViimeisinHavainto;Maakunta
1993;1404400;Lievestuoreenjärvi;W;Vedenkorkeus;14.391;Jatkuva;06.05.1999;19.12.2025;Keski-Suomi
1996;1404510;Leppävesi, Leppälahti;W;Vedenkorkeus;14.311;Jatkuva;01.01.1919;19.12.2025;Keski-Suomi
1997;1404520;Leppävesi, Kaunisharju;W;Vedenkorkeus;14.311;Jatkuva;01.01.1946;18.12.2025;Keski-Suomi
1998;1404610;Päijänne, pohj.;W;Vedenkorkeus;14.231;Jatkuva;01.01.1910;19.12.2025;Keski-Suomi
2000;1404720;Palokkajärvi;W;Vedenkorkeus;14.291;Jatkuva;01.01.1970;19.12.2025;Keski-Suomi
2001;1404800;Muuratjärvi;W;Vedenkorkeus;14.281;Jatkuva;01.01.1910;19.12.2025;Keski-Suomi
2002;1404810;Saarijärvi;W;Vedenkorkeus;14.272;Jatkuva;01.07.1983;19.12.2025;Keski-Suomi
2003;1404900;Ala-Kintaus;W;Vedenkorkeus;14.552;Jatkuva;01.01.1910;19.12.2025;Keski-Suomi
2004;1405000;Petäjävesi;W;Vedenkorkeus;14.531;Jatkuva;01.01.1910;19.12.2025;Keski-Suomi
2007;1405210;Jämsänkoski, ylä;W;Vedenkorkeus;14.512;Jatkuva;01.01.1923;14.12.2025;Keski-Suomi
2009;1405240;Patalankoski, ylä;W;Vedenkorkeus;14.512;Jatkuva;01.01.1971;07.12.2025;Keski-Suomi
2010;1405250;Patalankoski, ala;W;Vedenkorkeus;14.511;Jatkuva;01.01.1971;30.11.2025;Keski-Suomi
2011;1405300;Isojärvi;W;Vedenkorkeus;14.263;Jatkuva;25.09.1909;19.12.2025;Pirkanmaa
2012;1405310;Pälämä;W;Vedenkorkeus;14.264;Jatkuva;02.06.1983;19.12.2025;Keski-Suomi
2014;1405430;Alajärvi;W;Vedenkorkeus;14.251;Jatkuva;01.01.1984;19.12.2025;Päijät-Häme
2015;1405440;Miestämä;W;Vedenkorkeus;14.252;Jatkuva;20.01.1946;19.12.2025;Päijät-Häme
2016;1405510;Suontee, Viherinkoski;W;Vedenkorkeus;14.841;Jatkuva;01.01.1910;19.12.2025;Keski-Suomi
2018;1405700;Jääsjärvi, etelä;W;Vedenkorkeus;14.821;Jatkuva;01.01.1910;19.12.2025;Päijät-Häme
2024;1406100;Vesijärvi;W;Vedenkorkeus;14.241;Jatkuva;01.01.1909;19.12.2025;Päijät-Häme
