fid,paikka_id,tunnus,nimi,suurekoodi,suure,vesistonumero,tila,ensimmainenhavainto,viimeisinhavainto,koordertmpohj,koordertmita,layer,path,namefin
1,894,"0100150",Ruskeakoski,Q,Virtaama,"01.021",Jatkuva,01.01.1959,13.02.2026,6926492,677686,Hydrologiset havaintopaikat virtaama Q, pagingEnabled='true' preferCoordinatesForWfsT11='false' restrictToRequestBBOX='1' srsname='EPSG:3067' typename='inspire_ef:EF.HydrologisetHavaintopaikat_Virtaama_Q' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs?request=GetCapabilities' version='auto',Pohjois-Karjala
2,895,"0101251",Vääräkoski,Q,Virtaama,"01.012",Jatkuva,01.01.1981,13.02.2026,6902976,682005,Hydrologiset havaintopaikat virtaama Q, pagingEnabled='true' preferCoordinatesForWfsT11='false' restrictToRequestBBOX='1' srsname='EPSG:3067' typename='inspire_ef:EF.HydrologisetHavaintopaikat_Virtaama_Q' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs?request=GetCapabilities' version='auto',Pohjois-Karjala
3,896,"0201000",Kontturi,Q,Virtaama,"02.021",Jatkuva,01.01.1978,15.02.2026,6876149,673968,Hydrologiset havaintopaikat virtaama Q, pagingEnabled='true' preferCoordinatesForWfsT11='false' restrictToRequestBBOX='1' srsname='EPSG:3067' typename='inspire_ef:EF.HydrologisetHavaintopaikat_Virtaama_Q' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs?request=GetCapabilities' version='auto',Pohjois-Karjala
4,897,"0300250",Juankoski,Q,Virtaama,"03.021",Jatkuva,01.03.1975,15.02.2026,6813473,624968,Hydrologiset havaintopaikat virtaama Q, pagingEnabled='true' preferCoordinatesForWfsT11='false' restrictToRequestBBOX='1' srsname='EPSG:3067' typename='inspire_ef:EF.HydrologisetHavaintopaikat_Virtaama_Q' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs?request=GetCapabilities' version='auto',Etelä-Karjala
5,898,"0300450",Kangaskoski,Q,Virtaama,"03.011",Jatkuva,01.01.1982,31.07.2021,6811004,628245,Hydrologiset havaintopaikat virtaama Q, pagingEnabled='true' preferCoordinatesForWfsT11='false' restrictToRequestBBOX='1' srsname='EPSG:3067' typename='inspire_ef:EF.HydrologisetHavaintopaikat_Virtaama_Q' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs?request=GetCapabilities' version='auto',Etelä-Karjala
6,900,"0400520","Jongunjoki, Viitakoski",Q,Virtaama,"04.432",Jatkuva,01.01.1973,15.02.2026,7051867,649728,Hydrologiset havaintopaikat virtaama Q, pagingEnabled='true' preferCoordinatesForWfsT11='false' restrictToRequestBBOX='1' srsname='EPSG:3067' typename='inspire_ef:EF.HydrologisetHavaintopaikat_Virtaama_Q' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs?request=GetCapabilities' version='auto',Pohjois-Karjala
7,901,"0400600","Lieksanjoki, Ruunaa",Q,Virtaama,"04.492",Jatkuva,01.01.1931,15.02.2026,7036836,673217,Hydrologiset havaintopaikat virtaama Q, pagingEnabled='true' preferCoordinatesForWfsT11='false' restrictToRequestBBOX='1' srsname='EPSG:3067' typename='inspire_ef:EF.HydrologisetHavaintopaikat_Virtaama_Q' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs?request=GetCapabilities' version='auto',Pohjois-Karjala
8,903,"0400850","Lieksanjoki, Lieksankoski",Q,Virtaama,"04.422",Jatkuva,01.01.1961,15.02.2026,7026588,652025,Hydrologiset havaintopaikat virtaama Q, pagingEnabled='true' preferCoordinatesForWfsT11='false' restrictToRequestBBOX='1' srsname='EPSG:3067' typename='inspire_ef:EF.HydrologisetHavaintopaikat_Virtaama_Q' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs?request=GetCapabilities' version='auto',Pohjois-Karjala
9,905,"0401110","Saramojoki, Roukkajankoski",Q,Virtaama,"04.472",Jatkuva,01.01.1974,15.02.2026,7059048,603681,Hydrologiset havaintopaikat virtaama Q, pagingEnabled='true' preferCoordinatesForWfsT11='false' restrictToRequestBBOX='1' srsname='EPSG:3067' typename='inspire_ef:EF.HydrologisetHavaintopaikat_Virtaama_Q' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs?request=GetCapabilities' version='auto',Pohjois-Karjala
10,907,"0401320","Valtimonjoki, Nuolikoski",Q,Virtaama,"04.463",Jatkuva,01.01.1976,15.02.2026,7065717,586853,Hydrologiset havaintopaikat virtaama Q, pagingEnabled='true' preferCoordinatesForWfsT11='false' restrictToRequestBBOX='1' srsname='EPSG:3067' typename='inspire_ef:EF.HydrologisetHavaintopaikat_Virtaama_Q' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs?request=GetCapabilities' version='auto',Pohjois-Karjala
