Paikka_Id;Tunnus;Nimi;Suurekoodi;Suure;Vesistonumero;Tila;EnsimmainenHavainto;ViimeisinHavainto;layer;mkuntanro;Maakunta
996;1402150;Kiimasjärvi, Hietamankoski;Q;Virtaama;14.612;Jatkuva;1.1.1968;23.12.2025;Virtaama Q jatkuvat;13;Keski-Suomi
1003;1402710;Nilakka, Äyskoski;Q;Virtaama;14.731;Jatkuva;1.1.1994;23.12.2025;Virtaama Q jatkuvat;11;Pohjois-Savo
1005;1403300;Niinivesi, Nokisenkoski;Q;Virtaama;14.721;Jatkuva;1.1.1994;23.12.2025;Virtaama Q jatkuvat;11;Pohjois-Savo
1007;1403600;Hankavesi - luusua;Q;Virtaama;14.712;Jatkuva;1.1.1961;23.12.2025;Virtaama Q jatkuvat;11;Pohjois-Savo
1008;1403900;Konnevesi - luusua;Q;Virtaama;14.711;Jatkuva;22.6.1909;23.12.2025;Virtaama Q jatkuvat;13;Keski-Suomi
1012;1404120;Leivonvesi, Simuna;Q;Virtaama;14.352;Jatkuva;1.1.1978;23.12.2025;Virtaama Q jatkuvat;13;Keski-Suomi
1013;1404230;Armisvesi - luusua;Q;Virtaama;14.373;Jatkuva;1.1.1974;23.12.2025;Virtaama Q jatkuvat;13;Keski-Suomi
1015;1404450;Saraavesi, Kuhankoski;Q;Virtaama;14.321;Jatkuva;1.1.1941;23.12.2025;Virtaama Q jatkuvat;13;Keski-Suomi
1018;1404550;Leppävesi, Vaajakoski;Q;Virtaama;14.311;Jatkuva;1.1.1941;22.12.2025;Virtaama Q jatkuvat;13;Keski-Suomi
1019;1404725;Palokkajärvi, Lohikoski;Q;Virtaama;14.291;Jatkuva;1.1.1967;4.5.2025;Virtaama Q jatkuvat;13;Keski-Suomi
1020;1404800;Muuratjärvi - luusua;Q;Virtaama;14.281;Jatkuva;1.1.1969;23.12.2025;Virtaama Q jatkuvat;13;Keski-Suomi
1021;1404810;Saarijärvi - luusua;Q;Virtaama;14.272;Jatkuva;1.1.1984;23.12.2025;Virtaama Q jatkuvat;13;Keski-Suomi
1022;1405000;Petäjävesi - luusua;Q;Virtaama;14.531;Jatkuva;1.1.1910;23.12.2025;Virtaama Q jatkuvat;13;Keski-Suomi
1024;1405225;Patalankoski;Q;Virtaama;14.512;Jatkuva;1.1.1962;30.11.2025;Virtaama Q jatkuvat;13;Keski-Suomi
1025;1405310;Pälämä - luusua;Q;Virtaama;14.262;Jatkuva;2.6.1983;23.12.2025;Virtaama Q jatkuvat;13;Keski-Suomi
1028;1405450;Arrakosken voimalaitos;Q;Virtaama;14.252;Jatkuva;1.1.1984;23.12.2025;Virtaama Q jatkuvat;7;Päijät-Häme
1029;1405700;Jääsjärvi - luusua;Q;Virtaama;14.821;Jatkuva;1.1.1910;23.12.2025;Virtaama Q jatkuvat;7;Päijät-Häme
1030;1406220;Vesijärvi, Vääksynjoki;Q;Virtaama;14.241;Jatkuva;1.4.1973;30.11.2025;Virtaama Q jatkuvat;7;Päijät-Häme
1033;1406510;Päijänne, Kalkkinen;Q;Virtaama;14.211;Jatkuva;1.1.1970;23.12.2025;Virtaama Q jatkuvat;7;Päijät-Häme
1038;1406950;Konnivesi, Vuolenkoski;Q;Virtaama;14.131;Jatkuva;1.10.1959;22.12.2025;Virtaama Q jatkuvat;7;Päijät-Häme
1040;1407150;Mankala;Q;Virtaama;14.122;Jatkuva;1.1.1951;22.12.2025;Virtaama Q jatkuvat;7;Päijät-Häme
1041;1407400;Rauhajärvi - luusua;Q;Virtaama;14.931;Jatkuva;1.1.1910;23.12.2025;Virtaama Q jatkuvat;10;Etelä-Savo
1043;1407410;Iso-Naakkima - luusua;Q;Virtaama;14.937;Jatkuva;1.1.1987;23.12.2025;Virtaama Q jatkuvat;10;Etelä-Savo
1044;1407700;Synsiä - luusua;Q;Virtaama;14.926;Jatkuva;1.1.1971;23.12.2025;Virtaama Q jatkuvat;10;Etelä-Savo
1045;1407830;Vahvajärvi - luusua;Q;Virtaama;14.921;Jatkuva;1.1.1940;23.12.2025;Virtaama Q jatkuvat;10;Etelä-Savo
1046;1407850;Liekune, Kissakoski;Q;Virtaama;14.922;Jatkuva;1.1.1949;22.12.2025;Virtaama Q jatkuvat;10;Etelä-Savo
1047;1408050;Volanjoki;Q;Virtaama;14.916;Jatkuva;1.1.1980;27.4.2020;Virtaama Q jatkuvat;10;Etelä-Savo
1048;1408350;Vuohijärvi, Siikakoski;Q;Virtaama;14.912;Jatkuva;1.1.1963;22.12.2025;Virtaama Q jatkuvat;8;Kymenlaakso
1050;1408650;Voikkaa;Q;Virtaama;14.121;Jatkuva;1.1.1964;22.12.2025;Virtaama Q jatkuvat;8;Kymenlaakso
1052;1408950;Kannuskoski;Q;Virtaama;14.183;Jatkuva;1.10.1961;22.12.2025;Virtaama Q jatkuvat;8;Kymenlaakso
1053;1409120;Jyräänkoski, pato;Q;Virtaama;14.182;Jatkuva;1.2.1963;22.12.2025;Virtaama Q jatkuvat;8;Kymenlaakso
1055;1409500;Keltti;Q;Virtaama;14.114;Jatkuva;1.1.1932;22.12.2025;Virtaama Q jatkuvat;8;Kymenlaakso
1056;1409550;Kuusankoski;Q;Virtaama;14.115;Jatkuva;1.1.1941;22.12.2025;Virtaama Q jatkuvat;8;Kymenlaakso
1057;1410000;Piirteenvirta;Q;Virtaama;14.111;Jatkuva;1.1.1934;30.4.2025;Virtaama Q jatkuvat;8;Kymenlaakso
1058;1410050;Anjala;Q;Virtaama;14.112;Jatkuva;7.4.1938;23.12.2025;Virtaama Q jatkuvat;8;Kymenlaakso
1060;1410200;Piirteenvirta;Q;Virtaama;14.111;Jatkuva;1.1.1970;23.12.2025;Virtaama Q jatkuvat;8;Kymenlaakso
1061;1410400;Pernoonkoski;Q;Virtaama;14.111;Jatkuva;1.1.1970;23.12.2025;Virtaama Q jatkuvat;8;Kymenlaakso
1063;1410450;Kymijoki, kokonaisvirtaama;Q;Virtaama;14.111;Jatkuva;1.1.1941;21.12.2025;Virtaama Q jatkuvat;8;Kymenlaakso
1065;1410650;Kymijoki, itähaara;Q;Virtaama;14.111;Jatkuva;1.1.1970;22.12.2025;Virtaama Q jatkuvat;8;Kymenlaakso
1066;1410651;Koivukoski;Q;Virtaama;14.111;Jatkuva;1.1.1954;22.12.2025;Virtaama Q jatkuvat;8;Kymenlaakso
1067;1410652;Korkeakoski;Q;Virtaama;14.111;Jatkuva;1.1.1970;22.12.2025;Virtaama Q jatkuvat;8;Kymenlaakso
1068;1410700;Sutela;Q;Virtaama;14.111;Jatkuva;1.1.1974;22.12.2025;Virtaama Q jatkuvat;8;Kymenlaakso
1070;1410840;Hirvikoski;Q;Virtaama;14.111;Jatkuva;1.1.1950;23.12.2025;Virtaama Q jatkuvat;8;Kymenlaakso
1073;1410950;Ediskoski;Q;Virtaama;14.111;Jatkuva;1.1.1970;22.12.2025;Virtaama Q jatkuvat;8;Kymenlaakso
1074;1410951;Kymijoki, länsihaara;Q;Virtaama;14.111;Jatkuva;1.1.1934;21.12.2025;Virtaama Q jatkuvat;8;Kymenlaakso
1075;1411250;Ahvenkoski;Q;Virtaama;14.111;Jatkuva;18.3.1933;22.12.2025;Virtaama Q jatkuvat;8;Kymenlaakso
1076;1600110;Pyhäjärvi - luusua;Q;Virtaama;16.003;Jatkuva;1.1.1954;23.12.2025;Virtaama Q jatkuvat;1;Uusimaa
1078;1800300;Patomäenkoski;Q;Virtaama;18.042;Jatkuva;1.1.1993;22.12.2025;Virtaama Q jatkuvat;7;Päijät-Häme
1079;1800500;Vakkola;Q;Virtaama;18.021;Jatkuva;1.2.1963;23.12.2025;Virtaama Q jatkuvat;1;Uusimaa
1081;1900100;Vekkoski;Q;Virtaama;19.002;Jatkuva;1.1.1966;23.12.2025;Virtaama Q jatkuvat;1;Uusimaa
1083;1900400;Hirvihaaranjoki;Q;Virtaama;19.004;Jatkuva;1.1.1987;23.12.2025;Virtaama Q jatkuvat;1;Uusimaa
1084;2100110;Hirvijärvi - luusua;Q;Virtaama;21.033;Jatkuva;1.1.1961;23.12.2025;Virtaama Q jatkuvat;5;Kanta-Häme
1085;2100120;Ylä-Suolijärvi - luusua;Q;Virtaama;21.033;Jatkuva;1.1.1961;23.12.2025;Virtaama Q jatkuvat;1;Uusimaa
1087;2100130;Kytäjärvi - luusua;Q;Virtaama;21.032;Jatkuva;1.1.1961;23.12.2025;Virtaama Q jatkuvat;1;Uusimaa
1090;2101220;Myllymäki;Q;Virtaama;21.012;Jatkuva;1.1.1959;23.12.2025;Virtaama Q jatkuvat;1;Uusimaa
1091;2101310;Tuusulanjärvi - luusua;Q;Virtaama;21.082;Jatkuva;1.1.1961;22.12.2025;Virtaama Q jatkuvat;1;Uusimaa
1092;2101370;Päijännetunneli - Rusutjärvi;Q;Virtaama;21.083;Jatkuva;1.1.1993;22.12.2025;Virtaama Q jatkuvat;1;Uusimaa
1093;2101470;Päijännetunneli - Keravanjoki;Q;Virtaama;14.221;Jatkuva;1.8.1989;22.12.2025;Virtaama Q jatkuvat;7;Päijät-Häme
1095;2101520;Hanala;Q;Virtaama;21.092;Jatkuva;1.1.1966;23.12.2025;Virtaama Q jatkuvat;1;Uusimaa
1097;2101700;Oulunkylä;Q;Virtaama;21.011;Jatkuva;1.1.1937;23.12.2025;Virtaama Q jatkuvat;1;Uusimaa
1098;2200310;Palojärvenkoski;Q;Virtaama;22.004;Jatkuva;1.1.1964;23.12.2025;Virtaama Q jatkuvat;1;Uusimaa
1101;2300100;Vanjoki, Jokikunta;Q;Virtaama;23.042;Jatkuva;1.1.1951;22.12.2025;Virtaama Q jatkuvat;1;Uusimaa
1106;2300560;Väänteenjoki;Q;Virtaama;23.031;Jatkuva;1.1.1970;23.12.2025;Virtaama Q jatkuvat;1;Uusimaa
1107;2300935;Peltokoski;Q;Virtaama;23.012;Jatkuva;1.1.1938;23.12.2025;Virtaama Q jatkuvat;1;Uusimaa
1109;2301050;Billnäs;Q;Virtaama;23.011;Jatkuva;1.1.1946;23.12.2025;Virtaama Q jatkuvat;1;Uusimaa
1110;2400400;Kiskonjoki, Koski, kokonaisvirtaama;Q;Virtaama;24.021;Jatkuva;1.1.1963;23.12.2025;Virtaama Q jatkuvat;2;Varsinais-Suomi
1111;2500400;Kaukolankoski;Q;Virtaama;25.002;Jatkuva;1.3.1970;23.12.2025;Virtaama Q jatkuvat;2;Varsinais-Suomi
1112;2700160;Hovirinnankoski;Q;Virtaama;27.032;Jatkuva;1.3.1966;30.6.2025;Virtaama Q jatkuvat;2;Varsinais-Suomi
1113;2700250;Juvankoski;Q;Virtaama;27.021;Jatkuva;1.1.1958;23.12.2025;Virtaama Q jatkuvat;2;Varsinais-Suomi
1114;2700350;Juntola;Q;Virtaama;27.013;Jatkuva;1.1.1994;23.12.2025;Virtaama Q jatkuvat;2;Varsinais-Suomi
1115;2700370;Paimionjoki - Aurajoki;Q;Virtaama;27.013;Jatkuva;1.1.1966;13.8.2017;Virtaama Q jatkuvat;2;Varsinais-Suomi
1116;2800300;Hypöistenkoski;Q;Virtaama;28.002;Jatkuva;1.7.1943;23.12.2025;Virtaama Q jatkuvat;2;Varsinais-Suomi
1117;2800700;Halinen;Q;Virtaama;28.001;Jatkuva;1.1.1938;22.12.2025;Virtaama Q jatkuvat;2;Varsinais-Suomi
1119;3100200;Laajoki;Q;Virtaama;31.002;Jatkuva;1.1.1987;23.12.2025;Virtaama Q jatkuvat;2;Varsinais-Suomi
