paikka_id;Tunnus;Nimi;Suurekoodi;Suure;Vesistonumero;Tila;EnsimmainenHavainto;ViimeisinHavainto;Maakunta;N2000;N60;NN;N43;LN;KoordErTmIta;KoordErTmPohj
1993;1404400;Lievestuoreenjärvi;W;Vedenkorkeus;14.391;Jatkuva;6.5.1999;19.1.2026;Keski-Suomi;8367;8339;;;;458419;6904044
1996;1404510;Leppävesi, Leppälahti;W;Vedenkorkeus;14.311;Jatkuva;1.1.1919;18.1.2026;Keski-Suomi;8029;7999;7975;;;446009;6901125
1997;1404520;Leppävesi, Kaunisharju;W;Vedenkorkeus;14.311;Jatkuva;1.1.1946;17.1.2026;Keski-Suomi;7959;7929;7905;;;443644;6904257
1998;1404610;Päijänne, pohj.;W;Vedenkorkeus;14.231;Jatkuva;1.1.1910;18.1.2026;Keski-Suomi;7677;7646;7622;;;440194;6899029
2000;1404720;Palokkajärvi;W;Vedenkorkeus;14.291;Jatkuva;1.1.1970;18.1.2026;Keski-Suomi;0;-29;-54;;;434920;6903732
2001;1404800;Muuratjärvi;W;Vedenkorkeus;14.281;Jatkuva;1.1.1910;18.1.2026;Keski-Suomi;8963;8934;8910;;;424580;6893650
2002;1404810;Saarijärvi;W;Vedenkorkeus;14.272;Jatkuva;1.7.1983;19.1.2026;Keski-Suomi;11718;11688;;;;414758;6874919
2003;1404900;Ala-Kintaus;W;Vedenkorkeus;14.552;Jatkuva;1.1.1910;18.1.2026;Keski-Suomi;15369;15338;15313;;;413750;6906314
2004;1405000;Petäjävesi;W;Vedenkorkeus;14.531;Jatkuva;1.1.1910;19.1.2026;Keski-Suomi;11054;11023;10999;;;408233;6899444
2007;1405210;Jämsänkoski, ylä;W;Vedenkorkeus;14.512;Jatkuva;1.1.1923;11.1.2026;Keski-Suomi;52;23;0;;;403431;6867559
2009;1405240;Patalankoski, ylä;W;Vedenkorkeus;14.512;Jatkuva;1.1.1971;28.12.2025;Keski-Suomi;52;;0;;;403603;6866294
2010;1405250;Patalankoski, ala;W;Vedenkorkeus;14.511;Jatkuva;1.1.1971;21.12.2025;Keski-Suomi;52;;0;;;403611;6866183
2011;1405300;Isojärvi;W;Vedenkorkeus;14.263;Jatkuva;25.9.1909;18.1.2026;Pirkanmaa;11829;11801;11781;;;402795;6838031
2012;1405310;Pälämä;W;Vedenkorkeus;14.264;Jatkuva;2.6.1983;19.1.2026;Keski-Suomi;8864;8836;;;;402288;6846518
2014;1405430;Alajärvi;W;Vedenkorkeus;14.251;Jatkuva;1.1.1984;13.1.2026;Päijät-Häme;37;10;;0;;403319;6807386
2015;1405440;Miestämä;W;Vedenkorkeus;14.252;Jatkuva;20.1.1946;13.1.2026;Päijät-Häme;37;10;;0;;402802;6807527
2016;1405510;Suontee, Viherinkoski;W;Vedenkorkeus;14.841;Jatkuva;1.1.1910;18.1.2026;Keski-Suomi;9332;9305;9287;;;457089;6844259
2018;1405700;Jääsjärvi, etelä;W;Vedenkorkeus;14.821;Jatkuva;1.1.1910;4.1.2026;Päijät-Häme;9140;9113;9096;;;449358;6826252
2024;1406100;Vesijärvi;W;Vedenkorkeus;14.241;Jatkuva;1.1.1909;19.1.2026;Päijät-Häme;39;14;0;6;;426814;6762882
2030;1406510;Päijänne, Kalkkinen;W;Vedenkorkeus;14.211;Jatkuva;1.1.1941;18.1.2026;Päijät-Häme;42;16;0;;;423578;6795495
2031;1406520;Kalkkistenkoski;W;Vedenkorkeus;14.141;Jatkuva;14.8.1940;18.1.2026;Päijät-Häme;42;16;0;;;424899;6795505
2033;1406610;Kalkkinen, ala;W;Vedenkorkeus;14.141;Jatkuva;12.7.1940;18.1.2026;Päijät-Häme;42;16;0;;;424830;6796022
2034;1406710;Ruotsalainen, Heinola;W;Vedenkorkeus;14.141;Jatkuva;27.8.1900;18.1.2026;Päijät-Häme;7528;7503;7488;;;447642;6785555
2035;1406800;Ala-Rieveli;W;Vedenkorkeus;14.171;Jatkuva;1.1.1910;18.1.2026;Päijät-Häme;7694;7669;7654;;;457227;6800427
2036;1406900;Konnivesi;W;Vedenkorkeus;14.131;Jatkuva;26.8.1908;17.1.2026;Päijät-Häme;38;14;0;;;456233;6772463
