paikka_id;Tunnus;Nimi;Suurekoodi;Suure;Vesistonumero;Tila;EnsimmainenHavainto;ViimeisinHavainto;Maakunta;N2000;N60;NN;N43;LN
1993;1404400;Lievestuoreenjärvi;W;Vedenkorkeus;14.391;Jatkuva;6.5.1999;19.01.2026;Keski-Suomi;8367.0;8339.0;;;
1996;1404510;Leppävesi, Leppälahti;W;Vedenkorkeus;14.311;Jatkuva;1.1.1919;18.01.2026;Keski-Suomi;8029.0;7999.0;7975.0;;
1997;1404520;Leppävesi, Kaunisharju;W;Vedenkorkeus;14.311;Jatkuva;1.1.1946;17.01.2026;Keski-Suomi;7959.0;7929.0;7905.0;;
1998;1404610;Päijänne, pohj.;W;Vedenkorkeus;14.231;Jatkuva;1.1.1910;18.01.2026;Keski-Suomi;7677.0;7646.0;7622.0;;
2000;1404720;Palokkajärvi;W;Vedenkorkeus;14.291;Jatkuva;1.1.1970;18.01.2026;Keski-Suomi;0.0;-29.0;-54.0;;
2001;1404800;Muuratjärvi;W;Vedenkorkeus;14.281;Jatkuva;1.1.1910;18.01.2026;Keski-Suomi;8963.0;8934.0;8910.0;;
2002;1404810;Saarijärvi;W;Vedenkorkeus;14.272;Jatkuva;1.7.1983;19.01.2026;Keski-Suomi;11718.0;11688.0;;;
2003;1404900;Ala-Kintaus;W;Vedenkorkeus;14.552;Jatkuva;1.1.1910;18.01.2026;Keski-Suomi;15369.0;15338.0;15313.0;;
2004;1405000;Petäjävesi;W;Vedenkorkeus;14.531;Jatkuva;1.1.1910;19.01.2026;Keski-Suomi;11054.0;11023.0;10999.0;;
2007;1405210;Jämsänkoski, ylä;W;Vedenkorkeus;14.512;Jatkuva;1.1.1923;11.01.2026;Keski-Suomi;52.0;23.0;0.0;;
2009;1405240;Patalankoski, ylä;W;Vedenkorkeus;14.512;Jatkuva;1.1.1971;28.12.2025;Keski-Suomi;52.0;;0.0;;
2010;1405250;Patalankoski, ala;W;Vedenkorkeus;14.511;Jatkuva;1.1.1971;21.12.2025;Keski-Suomi;52.0;;0.0;;
2011;1405300;Isojärvi;W;Vedenkorkeus;14.263;Jatkuva;25.9.1909;18.01.2026;Pirkanmaa;11829.0;11801.0;11781.0;;
2012;1405310;Pälämä;W;Vedenkorkeus;14.264;Jatkuva;2.6.1983;19.01.2026;Keski-Suomi;8864.0;8836.0;;;
2014;1405430;Alajärvi;W;Vedenkorkeus;14.251;Jatkuva;1.1.1984;13.01.2026;Päijät-Häme;37.0;10.0;;0.0;
2015;1405440;Miestämä;W;Vedenkorkeus;14.252;Jatkuva;20.1.1946;13.01.2026;Päijät-Häme;37.0;10.0;;0.0;
