paikka_id;Tunnus;Nimi;Suurekoodi;Suure;Vesistonumero;Tila;EnsimmainenHavainto;ViimeisinHavainto;Maakunta;N2000;N60;NN;N43;LN
1993;1404400;Lievestuoreenjärvi;W;Vedenkorkeus;14.391;Jatkuva;6.5.1999;19.12.2025;Keski-Suomi;8367;8339;;;
1996;1404510;Leppävesi, Leppälahti;W;Vedenkorkeus;14.311;Jatkuva;1.1.1919;19.12.2025;Keski-Suomi;8029;7999;7975;;
1997;1404520;Leppävesi, Kaunisharju;W;Vedenkorkeus;14.311;Jatkuva;1.1.1946;18.12.2025;Keski-Suomi;7959;7929;7905;;
1998;1404610;Päijänne, pohj.;W;Vedenkorkeus;14.231;Jatkuva;1.1.1910;19.12.2025;Keski-Suomi;7677;7646;7622;;
2000;1404720;Palokkajärvi;W;Vedenkorkeus;14.291;Jatkuva;1.1.1970;19.12.2025;Keski-Suomi;0;-29;-54;;
2001;1404800;Muuratjärvi;W;Vedenkorkeus;14.281;Jatkuva;1.1.1910;19.12.2025;Keski-Suomi;8963;8934;8910;;
2002;1404810;Saarijärvi;W;Vedenkorkeus;14.272;Jatkuva;1.7.1983;19.12.2025;Keski-Suomi;11718;11688;;;
2003;1404900;Ala-Kintaus;W;Vedenkorkeus;14.552;Jatkuva;1.1.1910;19.12.2025;Keski-Suomi;15369;15338;15313;;
2004;1405000;Petäjävesi;W;Vedenkorkeus;14.531;Jatkuva;1.1.1910;19.12.2025;Keski-Suomi;11054;11023;10999;;
2007;1405210;Jämsänkoski, ylä;W;Vedenkorkeus;14.512;Jatkuva;1.1.1923;14.12.2025;Keski-Suomi;52;23;0;;
2009;1405240;Patalankoski, ylä;W;Vedenkorkeus;14.512;Jatkuva;1.1.1971;7.12.2025;Keski-Suomi;52;;0;;
2010;1405250;Patalankoski, ala;W;Vedenkorkeus;14.511;Jatkuva;1.1.1971;30.11.2025;Keski-Suomi;52;;0;;
2011;1405300;Isojärvi;W;Vedenkorkeus;14.263;Jatkuva;25.9.1909;19.12.2025;Pirkanmaa;11829;11801;11781;;
2012;1405310;Pälämä;W;Vedenkorkeus;14.264;Jatkuva;2.6.1983;19.12.2025;Keski-Suomi;8864;8836;;;
2014;1405430;Alajärvi;W;Vedenkorkeus;14.251;Jatkuva;1.1.1984;19.12.2025;Päijät-Häme;37;10;;0;
2015;1405440;Miestämä;W;Vedenkorkeus;14.252;Jatkuva;20.1.1946;19.12.2025;Päijät-Häme;37;10;;0;
2016;1405510;Suontee, Viherinkoski;W;Vedenkorkeus;14.841;Jatkuva;1.1.1910;19.12.2025;Keski-Suomi;9332;9305;9287;;
2018;1405700;Jääsjärvi, etelä;W;Vedenkorkeus;14.821;Jatkuva;1.1.1910;19.12.2025;Päijät-Häme;9140;9113;9096;;
2024;1406100;Vesijärvi;W;Vedenkorkeus;14.241;Jatkuva;1.1.1909;19.12.2025;Päijät-Häme;39;14;0;6;
2030;1406510;Päijänne, Kalkkinen;W;Vedenkorkeus;14.211;Jatkuva;1.1.1941;19.12.2025;Päijät-Häme;42;16;0;;
2031;1406520;Kalkkistenkoski;W;Vedenkorkeus;14.141;Jatkuva;14.8.1940;19.12.2025;Päijät-Häme;42;16;0;;
2033;1406610;Kalkkinen, ala;W;Vedenkorkeus;14.141;Jatkuva;12.7.1940;19.12.2025;Päijät-Häme;42;16;0;;
2034;1406710;Ruotsalainen, Heinola;W;Vedenkorkeus;14.141;Jatkuva;27.8.1900;19.12.2025;Päijät-Häme;7528;7503;7488;;
2035;1406800;Ala-Rieveli;W;Vedenkorkeus;14.171;Jatkuva;1.1.1910;19.12.2025;Päijät-Häme;7694;7669;7654;;
2036;1406900;Konnivesi;W;Vedenkorkeus;14.131;Jatkuva;26.8.1908;18.12.2025;Päijät-Häme;38;14;0;;
2037;1406910;Kettujärvi;W;Vedenkorkeus;14.122;Jatkuva;1.3.1987;18.12.2025;Päijät-Häme;37;;0;;
2039;1406930;Konnivesi, Vuolenkoski, ylä;W;Vedenkorkeus;14.131;Jatkuva;1.1.1971;18.12.2025;Päijät-Häme;37;;0;;
2040;1406940;Vuolenkoski, ala;W;Vedenkorkeus;14.131;Jatkuva;1.1.1971;18.12.2025;Päijät-Häme;37;;0;;
2041;1407000;Mankala;W;Vedenkorkeus;14.122;Jatkuva;1.1.1901;18.12.2025;Päijät-Häme;37;13;0;;
2044;1407130;Mankalan voimalaitos, ylä;W;Vedenkorkeus;14.122;Jatkuva;1.1.1950;18.12.2025;Päijät-Häme;35;13;0;;
2045;1407140;Mankalan voimalaitos, ala;W;Vedenkorkeus;14.121;Jatkuva;1.1.1950;18.12.2025;Päijät-Häme;35;13;0;;
2048;1407310;Pyhäjärvi, Jaala;W;Vedenkorkeus;14.121;Jatkuva;15.9.1957;18.12.2025;Kymenlaakso;35;13;0;;
2049;1407400;Kyyvesi, Haukivuori;W;Vedenkorkeus;14.932;Jatkuva;4.6.1909;19.12.2025;Etelä-Savo;10000;9973;9957;;
2050;1407410;Iso-Naakkima;W;Vedenkorkeus;14.937;Jatkuva;5.9.1986;19.12.2025;Etelä-Savo;11062;11034;;;
2053;1407700;Synsiä;W;Vedenkorkeus;14.926;Jatkuva;1.1.1910;19.12.2025;Etelä-Savo;10974;10946;;;
2055;1407810;Puulavesi, Liekune;W;Vedenkorkeus;14.922;Jatkuva;1.1.1964;19.12.2025;Etelä-Savo;41;15;0;;
2057;1407830;Vahvajärvi;W;Vedenkorkeus;14.921;Jatkuva;27.9.1938;19.12.2025;Etelä-Savo;8775;8749;8733;;
2059;1408000;Lahnavesi, Tuustaipale, ala;W;Vedenkorkeus;14.913;Jatkuva;1.1.1910;19.12.2025;Etelä-Savo;7919;7894;7879;;
2061;1408100;Pyhävesi, Mäntyharju;W;Vedenkorkeus;14.972;Jatkuva;1.1.1910;19.12.2025;Etelä-Savo;8074;8049;8035;;
2062;1408200;Juolasvesi, Voikoski;W;Vedenkorkeus;14.913;Jatkuva;26.5.1909;19.12.2025;Kymenlaakso;7808;7785;7771;;
2064;1408320;Vuohijärvi, etelä;W;Vedenkorkeus;14.912;Jatkuva;1.1.1971;18.12.2025;Kymenlaakso;34;12;0;;
2065;1408330;Siikakoski, ala;W;Vedenkorkeus;14.911;Jatkuva;1.1.1990;18.12.2025;Kymenlaakso;35;;0;;
2066;1408340;Verla, ylä;W;Vedenkorkeus;14.911;Jatkuva;1.1.1990;18.12.2025;Kymenlaakso;35;;0;;
2067;1408400;Kamponen, Puolakka;W;Vedenkorkeus;14.911;Jatkuva;3.8.1909;18.12.2025;Kymenlaakso;35;12;0;;
2068;1408410;Suolajärvi;W;Vedenkorkeus;14.911;Jatkuva;23.4.1941;18.12.2025;Kymenlaakso;35;;0;;
2069;1408420;Sonnanjärvi;W;Vedenkorkeus;14.911;Jatkuva;23.4.1941;18.12.2025;Kymenlaakso;35;12;0;;
2072;1408610;Voikkaa, ylä;W;Vedenkorkeus;14.121;Jatkuva;23.9.1957;18.12.2025;Kymenlaakso;33;11;0;;
2074;1408800;Ylä-Kivijärvi;W;Vedenkorkeus;14.192;Jatkuva;18.8.1909;19.12.2025;Etelä-Karjala;7443;7422;7416;;
2075;1408900;Ala-Kivijärvi;W;Vedenkorkeus;14.191;Jatkuva;18.8.1909;19.12.2025;Etelä-Karjala;7374;7353;7346;;
2079;1409110;Haukkajärvi;W;Vedenkorkeus;14.182;Jatkuva;1.1.1961;19.12.2025;Kymenlaakso;6131;6110;6101;;
2080;1409120;Jyräänkoski;W;Vedenkorkeus;14.181;Jatkuva;1.2.1963;18.12.2025;Kymenlaakso;22;0;;;
2083;1409220;Lappakoski, ylä;W;Vedenkorkeus;14.115;Jatkuva;1.1.1918;18.12.2025;Kymenlaakso;33;11;0;;
2084;1409300;Kuusankoski, ylä;W;Vedenkorkeus;14.115;Jatkuva;1.1.1955;18.12.2025;Kymenlaakso;32;;0;;
2085;1409310;Kuusankoski, ylä;W;Vedenkorkeus;14.115;Jatkuva;1.1.1902;18.12.2025;Kymenlaakso;32;11;0;;
2087;1409410;Kuusankoski, ala;W;Vedenkorkeus;14.114;Jatkuva;1.1.1926;18.12.2025;Kymenlaakso;33;;0;;
2090;1409520;Keltti, ylä;W;Vedenkorkeus;14.113;Jatkuva;1.1.1958;18.12.2025;Kymenlaakso;32;10;0;;
2091;1409610;Keltti, ala;W;Vedenkorkeus;14.113;Jatkuva;1.1.1970;18.12.2025;Kymenlaakso;32;;0;;
2092;1409700;Myllykoski, ylä;W;Vedenkorkeus;14.113;Jatkuva;21.7.1900;18.12.2025;Kymenlaakso;30;;0;;
2093;1409800;Myllykoski, ala;W;Vedenkorkeus;14.112;Jatkuva;1.9.1909;18.12.2025;Kymenlaakso;30;;0;;
2094;1409900;Anjala, ylä;W;Vedenkorkeus;14.112;Jatkuva;1.1.1910;30.4.2025;Kymenlaakso;29;8;0;;
2095;1409910;Anjala, ylä;W;Vedenkorkeus;14.111;Jatkuva;25.11.1939;30.4.2025;Kymenlaakso;29;8;0;;
2096;1410000;Anjala, ala;W;Vedenkorkeus;14.111;Jatkuva;14.7.1900;30.4.2025;Kymenlaakso;29;8;0;;
2099;1410200;Ahvio, ylä;W;Vedenkorkeus;14.111;Jatkuva;1.1.1901;19.12.2025;Kymenlaakso;1857;1835;1828;;
2102;1410400;Pernoo, ylä;W;Vedenkorkeus;14.111;Jatkuva;15.7.1900;19.12.2025;Kymenlaakso;1706;1685;1678;;
2105;1410600;Parikka;W;Vedenkorkeus;14.111;Jatkuva;21.7.1900;18.12.2025;Kymenlaakso;27;6;0;;
2110;1410840;Hirvikoski;W;Vedenkorkeus;14.111;Jatkuva;12.5.1933;19.12.2025;Kymenlaakso;1540;1518;1511;;
2111;1410900;Tammijärvi;W;Vedenkorkeus;14.111;Jatkuva;1.1.1905;18.12.2025;Kymenlaakso;22;0;-6;;
2115;1411110;Klåsarö, ala;W;Vedenkorkeus;14.111;Jatkuva;1.1.1920;18.12.2025;Kymenlaakso;22;0;-6;;
2117;1411220;Kuuskoski;W;Vedenkorkeus;14.111;Jatkuva;1.1.1920;18.12.2025;Uusimaa;28;5;0;;
2118;1600110;Pyhäjärvi;W;Vedenkorkeus;16.003;Jatkuva;8.10.1953;19.12.2025;Uusimaa;3937;3914;3905;;
2122;1800500;Vakkola;W;Vedenkorkeus;18.021;Jatkuva;25.1.1963;19.12.2025;Uusimaa;1492;1469;;1464;
2123;1900100;Vekkoski;W;Vedenkorkeus;19.001;Jatkuva;1.1.1964;19.12.2025;Uusimaa;952;927;922;;
2125;1900400;Hirvihaaranjoki;W;Vedenkorkeus;19.004;Jatkuva;18.9.1986;19.12.2025;Uusimaa;7189;7165;;;
2126;2100110;Hirvijärvi;W;Vedenkorkeus;21.033;Jatkuva;15.11.1958;19.12.2025;Kanta-Häme;39;14;0;;
2127;2100120;Ylä-Suolijärvi;W;Vedenkorkeus;21.033;Jatkuva;1.1.1961;19.12.2025;Uusimaa;40;;0;;
2129;2100130;Kytäjärvi;W;Vedenkorkeus;21.032;Jatkuva;1.1.1960;19.12.2025;Uusimaa;39;;0;;
2132;2101220;Myllymäki;W;Vedenkorkeus;21.012;Jatkuva;1.1.1959;19.12.2025;Uusimaa;33;7;0;;
2133;2101310;Tuusulanjärvi;W;Vedenkorkeus;21.082;Jatkuva;1.1.1959;19.12.2025;Uusimaa;34;8;0;;
2135;2101520;Hanala;W;Vedenkorkeus;21.092;Jatkuva;1.1.1966;19.12.2025;Uusimaa;33;6;;0;
2138;2200310;Palojärvenkoski;W;Vedenkorkeus;22.004;Jatkuva;1.1.1964;19.12.2025;Uusimaa;4659;4634;;;
2140;2200620;Siuntionjoki;W;Vedenkorkeus;22.002;Jatkuva;15.8.1975;19.12.2025;Uusimaa;308;282;273;;
2141;2300100;Vanjoki;W;Vedenkorkeus;23.042;Jatkuva;22.8.1912;18.12.2025;Uusimaa;3195;3170;;3161;
2143;2300150;Punelia;W;Vedenkorkeus;23.053;Jatkuva;1.1.1971;19.12.2025;Kanta-Häme;36;10;;0;
